epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
34,2.344335e-01,9.290709e+02,8.770352e-03,1.076458e-02,2882152.594,2.658303e-01,7.437155e+02,1.179956e-02,1.469264e-02,2778935.219,1.750000e-04,9.32,298.66
35,2.351682e-01,8.643652e+02,9.160330e-03,1.142568e-02,2891067.422,4.238545e-01,1.016975e+03,1.512527e-02,3.418086e-02,2518371.086,1.800000e-04,8.75,307.41
36,2.562162e-01,8.360162e+02,1.064028e-02,1.324237e-02,2885825.956,1.517633e-01,6.299121e+02,3.676589e-03,1.040123e-02,2777972.008,1.850000e-04,8.89,316.31
37,2.310279e-01,9.110285e+02,8.267820e-03,1.144938e-02,2896022.240,1.748246e-01,6.138053e+02,7.976149e-03,6.736524e-03,2846752.531,1.900000e-04,8.93,325.24
38,2.018839e-01,6.183423e+02,7.800834e-03,1.240826e-02,2897395.219,1.959428e-01,6.575742e+02,8.768439e-03,8.500201e-03,3140342.250,1.950000e-04,8.93,334.17
39,1.879335e-01,6.947421e+02,7.189891e-03,9.312072e-03,2912284.705,1.117377e-01,5.537503e+02,2.747010e-03,5.778521e-03,2853814.570,2.000000e-04,8.58,342.74
40,2.314143e-01,7.105107e+02,8.377264e-03,1.531813e-02,2889956.611,1.315769e-01,4.258011e+02,5.166637e-03,7.466083e-03,2845209.547,2.050000e-04,8.61,351.36
41,2.202995e-01,6.589026e+02,8.127436e-03,1.462697e-02,2903378.014,3.406506e-01,1.050905e+03,1.197284e-02,2.316634e-02,2931336.844,2.100000e-04,8.51,359.87
42,1.676154e-01,5.970416e+02,7.029555e-03,7.523142e-03,2921165.541,9.072921e-02,3.435006e+02,4.025439e-03,3.224951e-03,2995008.555,2.150000e-04,8.47,368.36
43,1.490491e-01,5.181799e+02,5.886171e-03,7.673882e-03,2931741.596,7.239752e-02,2.760500e+02,3.225901e-03,2.506702e-03,2914219.508,2.200000e-04,8.47,376.82
44,1.730210e-01,5.632080e+02,6.642150e-03,1.005573e-02,2915914.930,2.297208e-01,4.570974e+02,1.192996e-02,1.294230e-02,3025921.883,2.250000e-04,8.67,385.50
45,1.479331e-01,4.533480e+02,5.921011e-03,8.677645e-03,2931660.292,1.165237e-01,2.772542e+02,2.864158e-03,1.203134e-02,2797145.969,2.300000e-04,8.54,394.03
46,1.333997e-01,3.531150e+02,6.567644e-03,6.482352e-03,2929426.098,2.701129e-01,7.076992e+02,1.775597e-02,4.356657e-03,2965182.023,2.350000e-04,8.52,402.55
47,1.420470e-01,4.502693e+02,6.543590e-03,6.316843e-03,2926501.252,1.274758e-01,3.342990e+02,4.303411e-03,1.020237e-02,3185024.250,2.400000e-04,8.87,411.42
48,1.116387e-01,3.532431e+02,4.885209e-03,5.492455e-03,2948119.500,1.562108e-01,8.715419e+02,2.512630e-03,8.786069e-03,2742076.805,2.450000e-04,9.00,420.42
49,1.432744e-01,5.152209e+02,5.948173e-03,6.454115e-03,2932209.906,8.471300e-01,5.876995e+02,1.285601e-02,1.319600e-01,2029769.117,2.500000e-04,9.83,430.25
50,1.685481e-01,4.017595e+02,6.987588e-03,1.169926e-02,2917889.412,1.258014e-01,3.572090e+02,7.826956e-03,2.362184e-03,2918865.562,2.550000e-04,9.29,439.56
51,1.327915e-01,3.976308e+02,5.881323e-03,6.843043e-03,2930907.633,8.848866e-02,3.385160e+02,4.223954e-03,2.479503e-03,3054900.977,2.600000e-04,9.11,448.67
52,1.373736e-01,3.904387e+02,6.187319e-03,7.291304e-03,2934766.540,7.725001e-02,2.347499e+02,4.487220e-03,1.780564e-03,3034795.273,2.650000e-04,8.84,457.51
53,1.477697e-01,3.772196e+02,7.228894e-03,7.551754e-03,2930426.396,1.975741e-01,3.624357e+02,1.459503e-02,3.076050e-03,2943379.984,2.700000e-04,8.97,466.48
