epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
34,4.539414e+00,1.049333e+04,1.111009e-03,6.957940e-01,541438.850,4.584125e+00,1.084817e+04,1.944505e-03,6.959727e-01,552563.312,1.750000e-04,9.46,336.48
35,3.404267e+00,1.107247e+04,3.424758e-03,4.525544e-01,1108521.820,4.085964e+00,1.163364e+04,5.850981e-03,5.728181e-01,913761.394,1.800000e-04,9.64,346.12
36,2.552280e+00,9.957956e+03,7.250319e-03,2.967963e-01,1545515.057,2.970980e+00,1.253904e+04,1.270661e-02,3.180019e-01,1550128.332,1.850000e-04,9.76,355.88
37,1.913881e+00,8.297665e+03,1.301308e-02,1.907967e-01,1918677.782,2.099386e+00,7.034908e+03,1.467125e-02,2.498366e-01,1709886.613,1.900000e-04,10.10,365.98
38,1.469183e+00,6.360129e+03,1.717177e-02,1.322905e-01,2155877.493,1.609051e+00,6.151121e+03,2.098562e-02,1.568166e-01,2062910.094,1.950000e-04,9.17,375.15
39,1.171720e+00,4.973282e+03,2.155547e-02,9.176749e-02,2356544.422,1.358556e+00,5.554740e+03,2.528121e-02,1.100539e-01,2254130.473,2.000000e-04,9.74,384.89
40,1.024561e+00,4.133063e+03,2.371263e-02,7.482578e-02,2419691.539,1.027305e+00,3.457039e+03,2.283223e-02,9.065573e-02,2314805.523,2.050000e-04,9.84,394.73
41,8.662031e-01,3.290555e+03,2.415477e-02,5.911999e-02,2504096.784,9.957371e-01,3.392320e+03,2.988993e-02,7.152115e-02,2528665.645,2.100000e-04,9.45,404.18
42,8.447171e-01,2.938549e+03,2.584053e-02,5.849141e-02,2539448.368,8.955292e-01,2.323684e+03,2.345033e-02,8.573151e-02,2311600.301,2.150000e-04,9.52,413.69
43,7.753094e-01,2.548752e+03,2.665809e-02,5.077066e-02,2568285.287,7.337915e-01,1.894930e+03,2.315733e-02,6.254504e-02,2389561.195,2.200000e-04,9.26,422.96
44,7.507222e-01,2.329410e+03,2.584496e-02,5.186633e-02,2577157.089,7.459007e-01,2.312218e+03,2.658261e-02,4.977056e-02,2476297.707,2.250000e-04,9.87,432.83
45,7.096830e-01,2.155684e+03,2.594045e-02,4.694201e-02,2619056.729,7.662508e-01,1.499452e+03,2.314908e-02,7.696298e-02,2315728.301,2.300000e-04,10.32,443.15
46,7.064377e-01,2.047885e+03,2.538493e-02,4.955998e-02,2614592.146,7.460214e-01,1.488013e+03,2.066409e-02,7.811584e-02,2247992.523,2.350000e-04,9.44,452.59
47,6.680923e-01,1.828967e+03,2.687291e-02,4.329330e-02,2629921.543,6.670641e-01,1.686185e+03,2.954273e-02,4.060365e-02,2599602.301,2.400000e-04,10.48,463.08
48,6.434274e-01,1.655992e+03,2.676585e-02,4.203396e-02,2639235.266,6.579640e-01,2.078091e+03,3.162653e-02,2.677791e-02,2859313.492,2.450000e-04,9.20,472.30
49,6.444304e-01,1.663651e+03,2.749701e-02,4.061903e-02,2657721.600,6.434080e-01,1.324245e+03,2.313219e-02,5.593232e-02,2345198.707,2.500000e-04,9.50,481.80
50,6.797996e-01,1.676757e+03,2.776144e-02,4.690189e-02,2631957.076,6.723081e-01,1.226594e+03,3.464606e-02,4.063762e-02,2572023.453,2.550000e-04,9.33,491.13
51,6.298597e-01,1.540440e+03,2.737872e-02,4.040570e-02,2662023.729,6.094511e-01,1.606097e+03,3.214042e-02,2.548745e-02,2736708.164,2.600000e-04,8.94,500.07
52,6.462648e-01,1.423641e+03,2.699658e-02,4.678699e-02,2661697.418,6.507060e-01,1.252971e+03,2.795958e-02,4.916263e-02,2435218.328,2.650000e-04,9.15,509.22
53,6.563034e-01,1.443549e+03,2.836105e-02,4.566762e-02,2644430.173,6.543575e-01,1.668254e+03,3.482535e-02,2.785572e-02,2972217.047,2.700000e-04,9.37,518.59
54,6.276951e-01,1.329388e+03,2.813310e-02,4.268508e-02,2678338.362,6.634148e-01,1.126757e+03,3.527090e-02,3.960602e-02,2933535.891,2.750000e-04,9.21,527.80
55,6.294410e-01,1.237027e+03,2.816608e-02,4.481550e-02,2670243.432,6.264627e-01,1.172197e+03,2.461073e-02,5.262714e-02,2438014.355,2.800000e-04,9.74,537.54
56,6.400378e-01,1.368058e+03,2.733456e-02,4.597728e-02,2646111.373,6.126513e-01,1.358186e+03,2.901281e-02,3.734093e-02,2683332.453,2.850000e-04,9.37,546.92
57,6.171941e-01,1.219145e+03,2.852430e-02,4.200730e-02,2672173.956,5.541250e-01,1.118353e+03,2.921806e-02,3.002181e-02,2745379.828,2.900000e-04,10.49,557.41
58,6.667435e-01,1.323405e+03,2.817424e-02,5.053213e-02,2647099.974,5.657576e-01,1.017751e+03,2.784018e-02,3.711616e-02,2578398.066,2.950000e-04,9.18,566.60
59,6.087610e-01,1.099086e+03,2.900345e-02,4.176358e-02,2670130.101,6.253942e-01,8.099914e+02,2.341080e-02,6.205741e-02,2387885.094,3.000000e-04,9.13,575.73
