epoch,train_loss,train_pde,train_bc,train_current,train_Ip,val_loss,val_pde,val_bc,val_current,val_Ip,lr,epoch_seconds,elapsed_seconds
34,2.109817e-02,8.639429e+01,1.015013e-03,4.617222e-04,2987356.471,2.044303e-02,8.327258e+01,1.045152e-03,3.328503e-04,2988548.438,1.750000e-04,10.40,350.75
35,2.057945e-02,8.178085e+01,9.910530e-04,4.981679e-04,2987550.105,2.351432e-02,7.693682e+01,9.818245e-04,1.200480e-03,2910338.398,1.800000e-04,10.86,361.61
36,1.984270e-02,8.007365e+01,9.641426e-04,4.387809e-04,2988798.520,2.404227e-02,7.363697e+01,9.632082e-04,1.409298e-03,2900458.469,1.850000e-04,10.57,372.19
37,1.878450e-02,7.850806e+01,9.141717e-04,3.583947e-04,2987887.012,1.876892e-02,7.540956e+01,9.230179e-04,3.995563e-04,2974259.656,1.900000e-04,9.90,382.10
38,1.867006e-02,7.558542e+01,8.793536e-04,4.635965e-04,2988528.570,1.829013e-02,7.617604e+01,9.406833e-04,2.531380e-04,3014011.875,1.950000e-04,9.65,391.75
39,1.833581e-02,7.367850e+01,8.654930e-04,4.626053e-04,2988211.029,1.915475e-02,7.748816e+01,9.011757e-04,4.788351e-04,3025187.531,2.000000e-04,10.02,401.77
40,1.823115e-02,7.419401e+01,8.225740e-04,5.172009e-04,2988514.852,2.035607e-02,7.733313e+01,9.595361e-04,6.054796e-04,3054247.594,2.050000e-04,10.02,411.79
41,1.752356e-02,7.205651e+01,8.356719e-04,3.922381e-04,2990266.762,1.787325e-02,7.180016e+01,8.062228e-04,5.262005e-04,2950887.688,2.100000e-04,10.50,422.29
42,1.676347e-02,7.163453e+01,7.885786e-04,3.428461e-04,2989892.662,1.686433e-02,7.402035e+01,8.053576e-04,2.817429e-04,3027590.000,2.150000e-04,10.13,432.42
43,1.640949e-02,7.130455e+01,7.650160e-04,3.257758e-04,2990384.230,1.677368e-02,7.420225e+01,7.003517e-04,4.699885e-04,2974692.031,2.200000e-04,11.04,443.47
44,1.660343e-02,7.157754e+01,7.411775e-04,4.067799e-04,2990279.494,1.667290e-02,7.054312e+01,7.217928e-04,4.801322e-04,2951396.102,2.250000e-04,10.29,453.76
45,1.636090e-02,7.150018e+01,7.162994e-04,4.095771e-04,2989935.473,1.719731e-02,7.137197e+01,7.072277e-04,5.975664e-04,2950389.062,2.300000e-04,10.36,464.11
46,1.613516e-02,7.213039e+01,6.885253e-04,4.073738e-04,2990436.057,1.735131e-02,7.403976e+01,7.581561e-04,4.731555e-04,3053960.023,2.350000e-04,10.14,474.25
47,1.620498e-02,7.027302e+01,7.409351e-04,3.536664e-04,2990262.174,1.790284e-02,7.505284e+01,7.940651e-04,4.913815e-04,3054399.688,2.400000e-04,10.23,484.49
48,1.566293e-02,7.066741e+01,7.020274e-04,3.151830e-04,2991031.662,1.478693e-02,7.059079e+01,6.883149e-04,1.689402e-04,2977343.484,2.450000e-04,9.25,493.74
49,1.585045e-02,7.078971e+01,6.829005e-04,3.884948e-04,2991007.316,2.020332e-02,6.865260e+01,6.300392e-04,1.407534e-03,2894767.844,2.500000e-04,10.49,504.23
50,1.546700e-02,7.022137e+01,6.767761e-04,3.354212e-04,2990793.451,1.476494e-02,7.075955e+01,6.829359e-04,1.719244e-04,2983706.977,2.550000e-04,10.56,514.79
51,1.541244e-02,7.007888e+01,6.572559e-04,3.663979e-04,2990579.982,1.745765e-02,7.665264e+01,6.827500e-04,5.929775e-04,3058304.961,2.600000e-04,10.17,524.97
52,1.513711e-02,6.980699e+01,6.756237e-04,2.800353e-04,2991392.576,1.636372e-02,6.787099e+01,6.940136e-04,5.272972e-04,2944257.852,2.650000e-04,10.01,534.97
53,1.530429e-02,6.959552e+01,6.525313e-04,3.638846e-04,2991084.408,1.466554e-02,7.101351e+01,6.166444e-04,2.795484e-04,2974425.797,2.700000e-04,10.39,545.36
54,1.542621e-02,6.937109e+01,6.425483e-04,4.127244e-04,2991146.340,1.542908e-02,7.166882e+01,6.739423e-04,3.045551e-04,3021183.867,2.750000e-04,10.69,556.05
55,1.620144e-02,6.932703e+01,6.483191e-04,5.571094e-04,2989605.732,1.487216e-02,7.077028e+01,6.648140e-04,2.293995e-04,3030136.273,2.800000e-04,9.46,565.51
56,1.565383e-02,6.822679e+01,6.553993e-04,4.554309e-04,2991520.461,1.464165e-02,7.028267e+01,6.417970e-04,2.390824e-04,3016278.172,2.850000e-04,10.00,575.51
57,1.505364e-02,6.834764e+01,6.476550e-04,3.484644e-04,2991063.742,1.422457e-02,7.097651e+01,6.516691e-04,1.220462e-04,3005827.492,2.900000e-04,11.12,586.63
58,1.484964e-02,6.858634e+01,6.415728e-04,3.150564e-04,2991596.186,1.757457e-02,6.681789e+01,6.930182e-04,7.925202e-04,2924304.766,2.950000e-04,9.57,596.20
59,1.493923e-02,6.860181e+01,6.352531e-04,3.453038e-04,2990274.080,1.783454e-02,7.264479e+01,7.017912e-04,7.104304e-04,3066970.078,3.000000e-04,10.59,606.79
60,1.566993e-02,6.847263e+01,6.310812e-04,5.023706e-04,2991887.643,1.527908e-02,6.760634e+01,7.977173e-04,1.082554e-04,2987265.156,3.050000e-04,9.82,616.62
61,1.444297e-02,6.902286e+01,6.334249e-04,2.412866e-04,2991928.479,1.524583e-02,6.502458e+01,6.007785e-04,5.471183e-04,2949926.484,3.100000e-04,10.29,626.91
62,1.518946e-02,6.795770e+01,6.294771e-04,4.197846e-04,2990103.869,1.472165e-02,6.939457e+01,6.459766e-04,2.644848e-04,3028933.117,3.150000e-04,10.14,637.05
63,1.456835e-02,6.834845e+01,6.247555e-04,2.971908e-04,2991883.887,1.522108e-02,6.606571e+01,5.776259e-04,5.676495e-04,2933820.273,3.200000e-04,10.11,647.16
64,1.484856e-02,6.707774e+01,6.349843e-04,3.581892e-04,2991312.678,1.566826e-02,7.166077e+01,6.176199e-04,4.651968e-04,3046286.195,3.250000e-04,10.46,657.62
65,1.491266e-02,6.807544e+01,6.078704e-04,4.052826e-04,2991349.250,1.524826e-02,7.111083e+01,6.279808e-04,3.714748e-04,3038251.773,3.300000e-04,10.60,668.22
66,1.503537e-02,6.704197e+01,6.229174e-04,4.204001e-04,2991300.580,1.401843e-02,6.926381e+01,6.385024e-04,1.414053e-04,2983539.711,3.350000e-04,9.48,677.70
67,1.450849e-02,6.764020e+01,5.941162e-04,3.606617e-04,2991841.102,1.476044e-02,6.620944e+01,5.974746e-04,4.329509e-04,2945440.906,3.400000e-04,9.62,687.32
68,1.476237e-02,6.662260e+01,6.165807e-04,3.868609e-04,2991530.680,1.435108e-02,6.719424e+01,6.765285e-04,1.732749e-04,2980693.875,3.450000e-04,10.09,697.41
69,1.452143e-02,6.684060e+01,5.795999e-04,4.082733e-04,2991724.945,1.827881e-02,6.341658e+01,5.374025e-04,1.312625e-03,2896536.969,3.500000e-04,9.80,707.21
